CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE,Coordinates,CLUSTER
DLAGU6,POZO SAN GIL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,5,-102.0221,22.20887,2020,-0.04235349040288967,0,-0.16238929774599287,4,-0.10611378964356595,1,1,-0.05281444062576329,3,-0.3773996160562825,1,-0.17369579514622552,4,-0.016358910953311465,2,-0.09715137156350552,0,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.05799605395325209,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-102.0221 22.20887),0
DLAGU6516,POZO R013 CAÑADA HONDA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE CHICALOTE,5,-102.20075,21.99958,2020,-0.02435089777093352,0,-0.4283301326810351,0,-0.1633404541805249,3,1,-0.07705953263537456,3,-0.4568937514452208,1,-0.17369579514622552,4,0.17057533456971297,1,-0.17421905359467107,0,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-102.20075 21.99958),0
DLAGU7,POZO COSIO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,VALLE DE AGUASCALIENTES,5,-102.28801,22.36685,2020,-0.2680159890444602,0,-0.4892081551360447,0,-0.20074397575525027,3,1,0.3760853814844321,0,-0.6352041255481103,1,-0.17369579514622552,4,-0.3429336184639633,2,0.4994095745295909,1,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,POINT (-102.28801 22.36685),0
DLAGU9,POZO EL SALITRILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,VALLE DE AGUASCALIENTES,5,-102.29449,22.18435,2020,0.8308622652101433,0,-0.36585005700352513,0,-0.15133081282384325,3,1,0.022977374780350467,3,-0.4157960323635761,1,-0.17369579514622552,4,-0.36576594017349645,2,-0.11713188171973361,0,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-102.29449 22.18435),0
DLBAJ107,RANCHO EL TECOLOTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,5,-110.2448,23.45138,2020,0.6768050787621784,0,0.5593356789903716,4,0.10202921145988647,0,0,-0.43736853888931937,1,0.35226588991786106,1,-0.03328972888918751,0,1.355399635895761,0,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,POINT (-110.2448 23.45138),1
DLBAJ108,POZO A.P. CNA 7 (ANTES POZO A.P. CNA 6),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,5,-110.22067,23.46493,2020,-0.09199563958550888,0,-0.4585288359251649,0,-0.12376651549314623,1,1,-0.41597276324835897,1,-0.41025428727119156,1,2.7951732822908815,2,0.5056016766192162,1,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,POINT (-110.22067 23.46493),1
DLBAJ110,"POZO 26, SAN JUAN",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,5,-110.21396,23.4746,2020,-0.2792676094394328,0,-0.49000918174729485,0,-0.22360570267519844,3,1,-0.4090307924592823,1,-0.5089979073388387,1,-0.12095270920144649,1,0.043563783346802686,2,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-110.21396 23.4746),1
DLBAJ111,VICTOR HUGO CESEÑA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,CABO SAN LUCAS,5,-109.907306,22.8905,2020,1.0447330656777822,0,0.8895989508087991,1,0.09522857117357279,0,0,-0.26827456384792814,2,-0.223738560476747,1,0.2122634811567534,0,2.779837096517434,0,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18184348393398866,0,-0.06156769937207323,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,POINT (-109.907306 22.8905),1
DLBAJ117,LAS PARRITAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,5,-110.088778,23.799861,2020,0.9807788553527579,0,-0.02301066738847076,4,-0.08137103455931823,1,1,-0.3815219380637618,1,0.14954622686298935,1,-0.10351697831061045,1,-0.2918822924495966,2,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.16282990466207306,0,-0.045001725896837506,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-110.088778 23.799861),1
DLBAJ118,SAN ANTONIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,5,-110.054722,23.824722,2020,0.8813145310612005,0,0.44879400663785407,4,0.04371733836660086,0,0,-0.2951617492175611,2,0.5796404149042017,0,1.7015654947489984,2,-0.4989745049181472,2,9.599104771394622,1,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,2.889113645970275,1,2.449496457695402,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,POINT (-110.054722 23.824722),1
DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,5,-109.907091,23.94632,2020,-0.8836146440942007,3,0.14921005403030657,4,-0.08166042350767198,1,1,-0.30360608681919926,2,-0.3522303258517585,1,-0.0022928739721456617,0,0.15567472684882205,1,-0.27126724578206474,2,-0.033438824251101194,1,-0.051839907746768304,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-109.907091 23.94632),1
DLBAJ122,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,5,-110.108253,23.807347,2020,0.115439234016206,0,0.42075807524409964,4,0.012390984707304788,1,1,-0.22973108424290514,2,-0.41839866247348356,1,-0.17369579514622552,4,-0.49626098296524085,2,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,0.020703950809890424,0,-0.03823534236469897,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-110.108253 23.807347),1
DLBAJ125,JUAN DOMINGUEZ COTA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,5,-109.95892,23.97374,2020,-1.1833578114162704,3,3.2235501880082946,3,0.873250758822696,2,3,-0.42218945350723364,1,1.0924450237225705,0,-0.1693852950093244,1,-0.41411652133621357,2,0.1782942327330677,1,-0.033438824251101194,1,-0.053771181062333834,1,-0.10057175738153423,1,-0.08713932739586387,1,-0.1865968787519676,0,-0.0594498392744808,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,POINT (-109.95892 23.97374),1
DLBAJ127,TIRO SANTA CRUZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,5,-110.0611,23.80554,2020,0.05576063944127114,0,0.18125111848031164,4,-0.03087266307158453,1,1,-0.3450506885450304,2,0.18263039517385182,1,0.24083870678340136,0,-0.4907600229315961,2,2.6630133885897207,1,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18554056879241673,0,-0.06822639510263927,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,POINT (-110.0611 23.80554),1
DLBAJ128,EL ROSARIO II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,5,-110.11185,23.74221,2020,1.3090111255148986,0,0.31502256255908284,4,0.037206087028640936,1,1,-0.37675580886529125,1,0.49309617307483666,0,1.814413419681354,2,-0.4112614959721914,2,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,10.571896661317554,0,0.004067068946964238,0,0.16400234898844962,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,POINT (-110.11185 23.74221),1
DLBAJ129,"SP. A.P. 1, L. 9, COL. SIN.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,5,-111.72009,25.13549,2020,-0.2694111899734368,0,-0.1720016170809944,4,-0.13900765471523882,1,1,-0.345516940314446,2,-0.4508054263127152,1,-0.17369579514622552,4,0.5854603506570387,1,-0.27126724578206474,2,-0.033438824251101194,1,-0.053771181062333834,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-111.72009 25.13549),1
DLBAJ130,L. 16-17 COL. LAGUNA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,5,-111.8038,25.2401,2020,0.08541991080241904,0,0.3606810794003401,4,-0.03892733419197078,1,1,-0.2439776660861596,2,-0.41767801941855714,1,-0.17369579514622552,4,-0.14037214221866462,2,-0.27126724578206474,2,-0.033438824251101194,1,-0.019008261382154456,1,-0.12187025693550997,1,-0.08713932739586387,1,-0.18870949867106934,0,-0.06950070075458048,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,POINT (-111.8038 25.2401),1
